t/minuts,h1/mm,h2/mm
0,16.6,17.0
5,16.5,17.399999999999999
10,16.399999999999999,17.800000000000001
15,16.399999999999999,18.199999999999999
20,16.300000000000001,18.800000000000001
25,16.100000000000001,19.399999999999999
30,15.800000000000001,20.100000000000001
